question,answer
what was the last episode of inspector morse,"[""\""The Remorseful Day\"""",""The Remorseful Day""]"
who sings this crazy little thing called love,"[""British rock band Queen""]"
which console to get red dead redemption 2,"[""PlayStation 4"",""Xbox One""]"
who won her first tennis grand slam in 2018,"[""Simona Halep""]"
who sings i got you under my skin,"[""Cole Porter"",""Virginia Bruce""]"
where did france colonize in the new world,"[""much of eastern North America"",""a number of Caribbean islands"",""in South America""]"
a management information system is which type of system,"[""an information system"",""information"",""information system""]"
when did the harry potter movie come out,"[""2001"",""16 November 2001""]"
who went home on the first week of dancing with the stars juniors,"[""Addison & Lev"",""Tripp Johnston Palin"",""Hailey Bills"",""Tripp & Hailey"",""Addison Osta Smith""]"
where was the eastern front located in ww1,"[""included most of Eastern Europe""]"
who sings now that we have love what are we going to do with it,"[""The O'Jays""]"
who played apollo creed in the original rocky,"[""Carl Weathers""]"
kuchipudi is a dance form of which state,"[""Andhra Pradesh""]"
what is the meaning of zhongguo renmin yinhang,"[""People's Bank of China"",""without tones""]"
where was the lion king musical first performed,"[""July 8, 1997"",""Minneapolis, Minnesota"",""the Orpheum Theatre""]"
the federal housing administration (fha) insures lenders against,"[""loan default on mortgages""]"
when the united states entered world war 1 it joined what powers,"[""Allies"",""allied powers""]"
who is the main character in the labyrinth,"[""Sarah Williams"",""Sarah""]"
the predictable order of changes in communities after a change occurs,"[""Ecological succession""]"
who came up with the name rock and roll,"[""Alan Freed""]"
what is the front of your lower leg called,"[""tibia"",""fibula"",""shinbone""]"
which branch of the us government makes federal laws,"[""legislative branch"",""legislative""]"
by the year 2000 the largest number of legal immigrations to the united states came from,"[""Europe"",""All of Latin America""]"
one who signals train to start or stop,"[""signalman""]"
when do cory and topanga get back together after lauren,"[""\""Starry Night\"""",""Starry Night"",""\""Honesty Night\""""]"
who sang out of my head over you,"[""Little Anthony & the Imperials""]"
who is the tallest woman in the world and how tall is she,"[""Sun Fang""]"
when was the last time the detroit tigers went to the world series,"[""2012""]"
who is covered by the right to financial privacy act,"[""customers of financial institutions""]"
who is considered to be the inventor of the prepared piano,"[""John Cage"",""usually traced to John Cage""]"
who decided what rights should be included in the convention on the rights of the child,"[""The United Nations""]"
when did the saskatchewan roughriders last won the grey cup,"[""2013""]"
who played the mom in the home alone movies,"[""Catherine O'Hara""]"
what do you call a vest in the uk,"[""waistcoat""]"
what age do you go to school in japan,"[""6""]"
when did indiana jones and the last crusade come out,"[""May 24, 1989"",""May 24, 1989""]"
when does the good witch season 4 come out,"[""April 29, 2018""]"
when did the monarchy in england lose their power,"[""since the 19th century""]"
the states which are bounded by the bay of bengal,"[""Chennai"",""West Bengal"",""Pondicherry"",""Odisha"",""Visakhapatnam"",""Andhra Pradesh""]"
why were the houston astros move to american league,"[""2013""]"
when did the water bottle flip challenge start,"[""2016"",""summer in 2016"",""In 2016""]"
who plays kristen dimera on days of our lives 2018,"[""Stacy Haiduk""]"
what is the meaning of the name vinay,"[""guidance"",""politeness"",""humility"",""modesty"",""leading""]"
what is the italian word musicians use to describe playing a stringed instrument with a bow,"[""Spiccato""]"
minimum age limit for chief justice of india,"[""65 years""]"
which part of a corn plant would the kernels be,"[""the ear"",""the fruits"",""fruits"",""the fruits of corn""]"
where do we find globular clusters in the galaxy,"[""in the halo"",""the halo of a galaxy""]"
who is going to the orange bowl this year,"[""Oklahoma Sooners"",""Alabama Crimson Tide"",""Alabama Crimson""]"
what are the nfl channels on sirius xm radio,"[""Sirius XM Radio 88"",""channel 88""]"
what can you do with custom firmware 3ds,"[""provides region-free features""]"
when was the last time india won a gold medal in hockey at olympics,"[""1980""]"
who owns the rights to baby shark song,"[""SmartStudy""]"
how many episodes are in one punch man season 1,"[""12""]"
name of the bird in the lion king,"[""Zazu""]"
who sampled rick james give it to me baby,"[""MC Hammer"",""Jovanotti"",""Common"",""Public Enemy"",""Jay-Z"",""Kendrick Lamar"",""Salt-N-Pepa""]"
who was fighting in the battle of amiens,"[""Canada"",""United Kingdom"",""German Empire"",""British Empire"",""United States"",""Australia"",""France""]"
what are the three types of wind turbines,"[""blades, or be bladeless"",""vertical"",""horizontal""]"
who plays ollie in coop and cami ask the world,"[""Paxton Booth""]"
who played the most seasons in nfl history,"[""Morten Andersen""]"
who won the fifa fair play award 2018,"[""Lennart Thy""]"
where does red dead redemption 1 take place,"[""the Western United States"",""Mexico""]"
what is the star sign for september 15,"[""Leo""]"
when do meredith and derek get back together in season 2,"[""Losing My Religion"",""27""]"
who sings a white sport coat and a pink carnation,"[""Marty Robbins""]"
an act of the legislature directly punishing a person or group is referred to as a​,"[""bill of attainder""]"
the official u.s. poverty line is based on the cost of what,"[""ICP purchasing power""]"
what place did jennifer hudson get in american idol,"[""Jennifer Hudson"",""7""]"
